model,index,period,dist,seed,n,exceptions,expected,var_mean,var_std,p_uc,p_cc,p_ind,p_dq,lopez,caporin_reg,caporin_firm
garch,ftse,2009,normal,,250,9,6.25,-0.029886548293103856,0.009184321442477902,0.29542798548340243,0.5784752519504809,1.0,0.6164463809441769,9.001069792696587,-2.5417857618610125,256.7897884050651
garch,ftse,2009,skewt,,250,7,6.25,-0.03198271587007534,0.009837764958113216,0.7655653444137516,0.9565178499324095,1.0,0.9548899168808497,7.000826647509024,-1.851295979547754,256.35909243564146
garch,ftse,2009,t,,250,9,6.25,-0.030234702754556943,0.009288135233921671,0.29542798548340243,0.5784752519504809,1.0,0.6096428096328992,9.001040358173018,-2.435865264947935,256.66938110184833
garch,ftse,2011,normal,,250,8,6.25,-0.02518976187176642,0.008805849190230686,0.4965251678312268,0.39786383564863814,0.23994188207731293,0.17802783954372114,8.000379254502388,-1.5511750467105998,244.4785123141204
garch,ftse,2011,skewt,,250,5,6.25,-0.026784293967231716,0.009023218762585595,0.6000212735069022,0.18005794736161906,0.07574158174658208,0.26153959193769216,5.000261607026952,-1.0886980598872793,244.95261861309496
garch,ftse,2011,t,,250,7,6.25,-0.025631689696802813,0.00855327752697636,0.7655653444137516,0.3802048401618634,0.17434519693925066,0.09909502731702369,7.000356771246345,-1.3844342815843869,244.76169975764228
garch,ftse,2017,normal,,250,5,6.25,-0.01268814899220417,0.0019816182519194693,0.6000212735069022,0.871550118995829,1.0,0.7971937128606117,5.000216362579854,-1.9232869576411789,254.0100295153272
garch,ftse,2017,skewt,,250,4,6.25,-0.013520370683480618,0.0024146348925415664,0.32961526319804,0.6217579568519986,1.0,0.8454178958160671,4.000194370244778,-1.6551742587803668,253.64784216925088
garch,ftse,2017,t,,250,5,6.25,-0.012793521512599415,0.002214648034472943,0.6000212735069022,0.871550118995829,1.0,0.8081957151794233,5.000217579780844,-1.9707987130559526,253.83532763982424
garch,ftse,2020,normal,,250,14,6.25,-0.02792257455352059,0.015971152827369495,0.006779840352973854,0.02484172476459512,0.8063808750423658,0.0002996488804157815,14.006791138116698,-8.171960132199175,243.2697239469115
garch,ftse,2020,skewt,,250,10,6.25,-0.03087383259808159,0.01636231238028218,0.16172062359665362,0.2639999131582864,0.40092508686903383,0.004049658067719064,10.00551824516937,-5.4789082729808,244.81959019906526
garch,ftse,2020,t,,250,14,6.25,-0.02886816217908307,0.015597763425238142,0.006779840352973854,0.02484172476459512,0.8063808750423658,0.00043301538793472094,14.006278443365895,-6.826334882592264,244.30666973866204
garch,spx,2009,normal,,250,11,6.25,-0.03415333603997601,0.012895801835183698,0.08173423327287388,0.21979993112843277,1.0,0.23384057714324213,11.000399488381486,-1.8622206132123218,256.24402958387697
garch,spx,2009,skewt,,250,8,6.25,-0.0377383203707677,0.014520773378614864,0.4965251678312268,0.7935983811422883,1.0,0.5176591295877633,8.000128477526747,-0.8473170900654645,255.76346198862743
garch,spx,2009,t,,250,9,6.25,-0.03562766624220506,0.01371580955513733,0.29542798548340243,0.5784752519504809,1.0,0.3659569202797881,9.000240909665255,-1.3690792549745792,256.1377717575117
garch,spx,2011,normal,,250,8,6.25,-0.026094113768623264,0.01251743638470427,0.4965251678312268,0.7935983811422883,1.0,4.01086415531271e-05,8.00192914227841,-3.9265840144186734,247.54327636900166
garch,spx,2011,skewt,,250,7,6.25,-0.028777372790444823,0.014152873777907258,0.7655653444137516,0.9565178499324095,1.0,4.752783854922171e-06,7.0015111295267625,-2.942187216097036,247.97947992353937
garch,spx,2011,t,,250,8,6.25,-0.026779917966857813,0.013142054280698562,0.4965251678312268,0.7935983811422883,1.0,4.1653536766328436e-05,8.001826781537892,-3.731565368056855,247.82544151137807
