Index,Period,Dist,GARCH_excep,GARCHNet_excep (mean±std),GARCH_p_UC,GN_p_UC,GARCH_p_DQ,GN_p_DQ
spx,2009,normal,11,16.0 ± 1.7,0.0817342332728738,0.0017539157954085,0.2338405771432421,4.1749023184064114e-05
spx,2009,skewt,8,11.7 ± 1.5,0.4965251678312268,0.0722253746825752,0.5176591295877633,0.0354445643093459
spx,2009,t,9,15.0 ± 1.0,0.2954279854834024,0.0034281504728184,0.3659569202797881,0.0001285287399653
spx,2011,normal,8,7.7 ± 0.6,0.4965251678312268,0.5862052266920684,4.01086415531271e-05,0.1149595887989574
spx,2011,skewt,7,3.0 ± 0.0,0.7655653444137516,0.1435648642736429,4.752783854922171e-06,0.0114516097652748
spx,2011,t,8,5.3 ± 0.6,0.4965251678312268,0.7062814714984342,4.165353676632844e-05,0.0659049283938506
spx,2020,normal,12,27.0 ± 2.6,0.0382802784138022,1.1698919462806621e-08,0.0070676769044553,3.7007434154171876e-17
spx,2020,skewt,9,20.0 ± 0.0,0.2954279854834024,8.523543760352581e-06,0.0923543916474397,1.9727182850222866e-12
spx,2020,t,10,20.7 ± 1.5,0.1617206235966536,1.0911214437007525e-05,0.0027650705165608,1.5465924837106588e-11
wig20,2009,normal,4,10.7 ± 0.6,0.32961526319804,0.1083963633808004,0.981964088982677,0.1481030146043993
wig20,2009,skewt,4,6.3 ± 2.5,0.32961526319804,0.5146150387209802,0.9829152891043786,0.746540360715472
wig20,2009,t,4,8.3 ± 3.2,0.32961526319804,0.5742158301030175,0.982758641848138,0.3799239251559672
wig20,2011,normal,9,6.7 ± 1.2,0.2954279854834024,0.7780429675980746,0.3302299152011642,0.2281850175410255
wig20,2011,skewt,9,3.7 ± 0.6,0.2954279854834024,0.2675984635565743,0.3300669751883074,0.3871932205313781
wig20,2011,t,9,4.0 ± 0.0,0.2954279854834024,0.32961526319804,0.3302427974617714,0.8907422849564623
wig20,2020,normal,16,20.3 ± 1.2,0.0009232240742709,1.1483503923437333e-05,2.610010251258288e-07,1.00219753681093e-07
wig20,2020,skewt,15,19.0 ± 1.0,0.0025813869912105,4.577132041031865e-05,1.487968777080795e-07,1.4395891885972862e-14
wig20,2020,t,16,19.0 ± 1.0,0.0009232240742709,4.577132041031865e-05,3.3590332559896297e-07,2.1146788024376897e-12
